depth,qc,fs,u2,qt,Bq,Ic,t,u2,t,u2,t,u2,t,u2,t,u2,t,u2
1.35,0.08,0.01847,0.01345,0.07,0.004897675,4.422808559,1,15.74,1,30.62,1,-3.43,1,100.15,1,59.71,1,35.86
1.36,0.2,0.01999,0.02251,0.08,0.176467271,4.266116535,2,22.51,2,38.06,2,0.76,2,87.75,2,51.6,2,46.07
1.37,0.46,0.02212,0.03825,0.21,0.136513282,3.572092989,3,28.62,3,44.73,3,5.25,3,78.02,3,47.98,3,51.79
1.38,1.01,0.02535,0.18085,0.46,0.387722452,3.082249782,4,35.67,4,47.02,4,8.2,4,70.68,4,45.78,4,55.04
1.39,1.24,0.02609,0.21442,1.01,0.204609211,2.588949224,5,41.97,5,46.64,5,10.4,5,65.05,5,44.93,5,57.33
1.4,1.61,0.02742,0.25591,1.25,0.198328782,2.470279826,6,49.79,6,44.54,6,12.21,6,60.57,6,43.78,6,59.04
1.41,1.65,0.02713,0.30704,1.65,0.180896416,2.295543651,7,53.8,7,41.78,7,13.35,7,57.04,7,42.92,7,59.71
1.42,1.88,0.02645,0.3532,1.69,0.204300852,2.275082993,8,59.42,8,38.92,8,14.12,8,53.99,8,42.25,8,60.19
1.43,1.95,0.02532,0.20813,1.93,0.102136445,2.182292412,9,64.29,9,36.34,9,14.69,9,51.51,9,41.78,9,60.28
1.44,1.95,0.02503,0.15519,2.01,0.071237295,2.155415639,10,71.92,10,33.96,10,14.98,10,49.41,10,41.3,10,60.28
1.45,2.02,0.02606,0.06276,2.02,0.024390066,2.164454825,11,78.6,11,31.86,11,15.26,11,48.17,11,40.92,11,60
1.46,2.04,0.02584,0.05523,2.06,0.02015394,2.151372132,12,80.89,12,29.86,12,15.45,12,46.45,12,40.44,12,59.71
1.47,2.06,0.02519,0.04063,2.07,0.012850693,2.142901982,13,80.6,13,28.23,13,15.83,13,45.12,13,40.16,13,59.42
1.48,2,0.02341,0.05074,2.07,0.017761565,2.124888163,14,79.07,14,26.8,14,16.02,14,43.88,14,39.87,14,59.04
1.49,1.88,0.02283,0.07449,2.01,0.030252984,2.137814018,15,77.26,15,25.37,15,16.12,15,42.73,15,39.68,15,58.85
1.5,1.81,0.02338,0.10425,1.88,0.048427158,2.186678529,16,75.26,16,24.23,16,16.22,16,41.87,16,39.39,16,58.37
1.51,1.73,0.02338,0.11971,1.82,0.058646247,2.208060926,17,73.06,17,23.46,17,16.31,17,41.01,17,39.3,17,58.18
1.52,1.61,0.02474,0.14813,1.74,0.077977963,2.252190214,18,70.97,18,22.51,18,16.31,18,40.35,18,39.01,18,57.9
1.53,1.58,0.02522,0.14947,1.64,0.083609745,2.295385955,19,68.87,19,22.32,19,16.31,19,39.68,19,38.82,19,57.42
1.54,1.52,0.02535,0.14718,1.6,0.084231464,2.313415766,20,66.86,20,21.46,20,16.41,20,39.11,20,38.73,20,57.13
1.55,1.51,0.02526,0.12591,1.55,0.072939849,2.333514362,21,64.96,21,20.7,21,16.41,21,38.63,21,38.53,21,56.85
1.56,1.5,0.02548,0.11074,1.54,0.063306517,2.341160481,22,63.05,22,20.03,22,16.31,22,38.06,22,38.34,22,56.47
1.57,1.48,0.02587,0.11799,1.53,0.06851521,2.350588922,23,61.33,23,19.46,23,16.31,23,37.77,23,38.25,23,56.18
1.58,1.49,0.02671,0.10845,1.51,0.062928144,2.368704922,24,59.61,24,18.89,24,15.93,24,37.2,24,38.15,24,56.09
1.59,1.51,0.02671,0.10702,1.51,0.061902919,2.369979706,25,57.99,25,18.41,25,15.93,25,36.82,25,37.96,25,55.7
1.6,1.54,0.02723,0.11704,1.54,0.067264908,2.364202061,26,56.56,26,18.03,26,16.02,26,36.34,26,37.87,26,55.32
1.61,1.57,0.02774,0.08575,1.56,0.045830131,2.362458746,27,55.04,27,17.65,27,15.93,27,35.96,27,37.77,27,55.13
1.62,1.59,0.02784,0.10664,1.59,0.058313926,2.35281535,28,53.61,28,17.17,28,16.02,28,35.48,28,37.68,28,54.75
1.63,1.59,0.02855,0.11751,1.61,0.064417236,2.353133576,29,52.27,29,16.79,29,16.02,29,35.2,29,37.58,29,54.56
1.64,1.47,0.02994,0.18342,1.61,0.106191901,2.367408293,30,51.03,30,16.41,30,15.93,30,34.81,30,37.49,30,54.27
1.65,1.46,0.03023,0.19849,1.49,0.125249421,2.419730206,31,49.79,31,16.12,31,15.93,31,34.43,31,37.39,31,54.08
1.66,1.46,0.03117,0.19573,1.48,0.12415791,2.433664321,32,48.55,32,15.83,32,15.93,32,34.15,32,37.29,32,53.8
1.67,1.45,0.03165,0.18705,1.5,0.116490437,2.430743497,33,47.41,33,15.55,33,15.93,33,33.96,33,37.2,33,53.61
1.68,1.41,0.03339,0.21032,1.49,0.133236472,2.451102609,34,46.36,34,15.36,34,15.93,34,33.67,34,37.2,34,53.22
1.69,1.41,0.03456,0.24933,1.45,0.164531914,2.47907938,35,45.4,35,15.07,35,15.93,35,33.38,35,37.1,35,53.03
1.7,1.47,0.03662,0.30542,1.44,0.205598804,2.50103788,36,44.54,36,14.88,36,15.93,36,33.1,36,37.01,36,52.94
1.71,1.51,0.03914,0.30275,1.51,0.193989978,2.491451077,37,43.78,37,14.59,37,15.83,37,32.81,37,36.91,37,52.65
1.72,1.57,0.04253,0.27995,1.56,0.172628703,2.496162539,38,43.3,38,14.4,38,15.93,38,32.62,38,36.91,38,52.46
1.73,1.62,0.0446,0.23865,1.63,0.139095357,2.483642432,39,43.3,39,14.21,39,15.74,39,32.53,39,36.82,39,52.37
1.74,1.7,0.04867,0.2169,1.68,0.121589332,2.491498301,40,43.02,40,14.02,40,15.74,40,32.24,40,36.82,40,52.08
1.75,1.7,0.05077,0.21709,1.76,0.116014277,2.476010233,41,42.06,41,13.83,41,15.74,41,32.05,41,36.72,41,51.98
1.76,1.73,0.05271,0.25486,1.74,0.139512984,2.495507897,42,41.3,42,13.74,42,15.74,42,31.86,42,36.63,42,51.7
1.77,1.76,0.05448,0.2603,1.77,0.140199009,2.495827264,43,40.25,43,13.54,43,15.74,43,31.67,43,36.63,43,51.51
1.78,1.83,0.05555,0.22014,1.8,0.114990495,2.492289568,44,39.68,44,13.45,44,15.74,44,31.57,44,36.63,44,51.32
1.79,1.9,0.05807,0.19077,1.89,0.093509169,2.476207369,45,39.01,45,13.26,45,15.74,45,31.38,45,36.53,45,51.22
1.8,2.07,0.05936,0.10874,1.96,0.047386703,2.461220191,46,38.34,46,13.16,46,15.74,46,31.19,46,36.44,46,50.93
1.81,2.14,0.06223,0.10149,2.12,0.040220578,2.427563549,47,37.77,47,13.07,47,15.74,47,31.1,47,36.44,47,50.84
1.82,2.28,0.06204,0.03739,2.18,0.009121914,2.41034351,48,37.2,48,12.88,48,15.64,48,30.9,48,36.44,48,50.74
1.83,2.29,0.06149,0.03138,2.3,0.005937781,2.375317586,49,36.53,49,12.78,49,15.64,49,30.81,49,36.34,49,50.55
1.84,2.36,0.06227,0.02919,2.31,0.004904792,2.377572127,50,36.05,50,12.69,50,15.64,50,30.62,50,36.34,50,50.46
1.85,2.33,0.06411,0.01946,2.37,0.00056265,2.371537392,51,35.48,51,12.5,51,15.64,51,30.52,51,36.25,51,50.36
1.86,2.18,0.06307,0.00849,2.34,-0.004240711,2.375668872,52,34.91,52,12.5,52,15.64,52,30.33,52,36.25,52,50.08
1.87,2.14,0.06349,0.00563,2.19,-0.005912534,2.42022598,53,34.53,53,12.3,53,15.64,53,30.24,53,36.25,53,49.98
1.88,2.06,0.06427,0.00105,2.15,-0.008242128,2.43659946,54,33.96,54,12.21,54,15.64,54,30.14,54,36.15,54,49.98
1.89,2.05,0.06611,0.00238,2.06,-0.008000454,2.473088752,55,33.48,55,12.21,55,15.55,55,30.05,55,36.15,55,49.69
1.9,2.04,0.06789,-0.00057,2.05,-0.00955784,2.485374323,56,33,56,12.02,56,15.55,56,29.95,56,36.15,56,49.6
1.91,2.01,0.06902,-0.00162,2.04,-0.010180945,2.494612982,57,32.53,57,11.92,57,15.64,57,29.86,57,36.15,57,49.5
1.92,1.97,0.0684,0.00114,2.01,-0.008985549,2.502261013,58,32.05,58,11.92,58,15.55,58,29.76,58,36.15,58,49.31
1.93,1.9,0.07173,0.01354,1.97,-0.002795817,2.530553959,59,31.57,59,11.83,59,15.55,59,29.66,59,36.05,59,49.22
1.94,1.9,0.0737,0.01812,1.9,-0.000490309,2.562711003,60,31.29,60,11.73,60,15.55,60,29.47,60,36.05,60,49.22
1.95,1.92,0.07522,0.01307,1.9,-0.003260266,2.570122412,120,17.74,120,9.63,120,15.17,120,26.71,120,35.29,120,45.5
1.96,1.9,0.07493,0.01669,1.92,-0.001350969,2.563466374,180,12.97,180,9.06,180,15.17,180,25.94,180,35.1,180,44.35
1.97,1.86,0.07121,0.02699,1.91,0.004102677,2.55219294,240,10.3,240,8.97,240,15.17,240,25.56,240,35.01,240,43.88
1.98,1.84,0.07086,0.03167,1.86,0.006736501,2.56845321,300,8.87,300,8.78,300,15.17,300,25.37,300,34.91,300,43.59
1.99,1.8,0.07092,0.03539,1.84,0.00882712,2.57661187,360,7.82,360,8.78,360,15.17,360,25.28,360,34.81,360,43.49
2,1.78,0.07166,0.03853,1.8,0.010760099,2.594714735,420,7.06,420,8.68,420,15.17,420,25.18,420,34.81,420,43.4
2.01,1.83,0.0727,0.04187,1.79,0.012678627,2.603737324,480,6.49,480,8.68,480,15.26,480,25.18,,,480,43.3
2.02,1.83,0.0735,0.04292,1.84,0.012857232,2.590862108,540,6.1,540,8.68,540,15.26,,,,,540,43.3
2.03,1.8,0.0735,0.05046,1.84,0.017000858,2.591954097,600,5.72,,,,,,,,,600,43.3
2.04,1.79,0.0735,0.04664,1.81,0.015073814,2.603385752,900,4.58,,,,,,,,,,
2.05,1.89,0.06821,0.02356,1.8,0.001964132,2.585147072,1200,4.2,,,,,,,,,,
2.06,1.98,0.06165,0.02394,1.9,0.002010437,2.521688643,,,,,,,,,,,,
2.07,2.25,0.05959,0.02165,1.99,0.000690365,2.483530525,,,,,,,,,,,,
2.08,2.3,0.05762,-0.00506,2.26,-0.011493675,2.394836204,,,,,,,,,,,,
2.09,2.35,0.05574,-0.06133,2.31,-0.036124264,2.37240203,,,,,,,,,,,,
2.1,2.3,0.05442,-0.06581,2.36,-0.037325201,2.353022123,,,,,,,,,,,,
2.11,2.12,0.05558,-0.06839,2.3,-0.039509948,2.376410815,,,,,,,,,,,,
2.12,2.02,0.056,-0.06591,2.11,-0.04199668,2.433722608,,,,,,,,,,,,
2.13,1.92,0.05607,-0.06229,2,-0.042563338,2.468761823,,,,,,,,,,,,
2.14,1.72,0.05516,-0.05609,1.91,-0.041350271,2.493937656,,,,,,,,,,,,
2.15,1.6,0.05103,-0.05609,1.7,-0.046665604,2.545531131,,,,,,,,,,,,
2.16,1.44,0.04864,-0.05609,1.59,-0.050061358,2.574869781,,,,,,,,,,,,
2.17,1.44,0.04728,-0.03701,1.43,-0.042138781,2.634837581,,,,,,,,,,,,
2.18,1.44,0.04621,-0.04101,1.43,-0.045108417,2.629306144,,,,,,,,,,,,
2.19,1.34,0.04383,-0.03501,1.43,-0.040848422,2.615205023,,,,,,,,,,,,
2.2,1.37,0.04205,-0.01498,1.33,-0.028502025,2.650445471,,,,,,,,,,,,
2.21,1.33,0.03969,-0.00706,1.37,-0.021730664,2.616358634,,,,,,,,,,,,
2.22,1.21,0.03917,0.00267,1.32,-0.015018232,2.63731121,,,,,,,,,,,,
2.23,1.17,0.03869,0.00467,1.21,-0.014806112,2.690273723,,,,,,,,,,,,
2.24,1.1,0.0385,0.00897,1.16,-0.01169584,2.716888174,,,,,,,,,,,,
2.25,1.08,0.03872,0.02337,1.1,0.001233767,2.753532428,,,,,,,,,,,,
